Tweet,Sentiment
"RT @ChristopherJM: Zelensky also confirms CIA Director Bill Burns' Kyiv visit Tuesday, during Russia's missile attack. “Yesterday Burns sat…",Negative
"RT @oryxspioenkop: Russia acquired these vehicles from the secondhand car market, and did not capture them from Ukraine. https://t.co/bagJE…",Positive
"RT @RepMTG: I’m calling for an audit of every single penny that has been sent to Ukraine.

This must be done as soon as possible for the Am…",Positive
"RT @KyivIndependent: ""Russian goal seems to be to entrench and defend for the next several months, and then attempt a new offensive in the…",Negative
RT @william98161886: I see Rishi just given another 4 and a half billion to the Ukraine !!!  You'd think it was us at fekin war with Russia…,Positive
RT @UmlandAndreas: https://t.co/jJMGEpdEn2,Negative
RT @michaeldweiss: Predicting the trajectory and pacing of this war has not been America's strong suit. Providing security assistance to le…,Negative
"RT @IuliiaMendel: If Putin took over Ukraine, there was no guarantee that he wouldn’t immediately, or after a little while, go into neighbo…",Positive
Can the risk of spillover from the Ukraine war be contained? https://t.co/vCWeIq93Ab,Negative
RT @rising_serpent: Biden-FTX-Ukraine is everything they claimed Trump was doing with Russia and then investigated him for five straight ye…,Negative
Canada sanctions Iranian drone makers amid Russian strikes in Ukraine – National #IranRussianNews #RussianNews… https://t.co/wDb5pDmEcm,Negative
"RT @RWApodcast: Three military Toyota Mega Cruisers, likely donated to Ukraine by Japan, now in Russian service. https://t.co/luziAEXPCH",Positive
"RT @AZgeopolitics: ""Freedom and democracy"" arrived in Kherson...

SBU(Security Service of Ukraine) rounded up some more ""collaborators"" in…",Negative
RT @ferryman4747: #PolandMissileStrike #Ukraine #FTXScandal https://t.co/yt7AW7n5jl,Negative
RT @KimDotcom: Ukraine executed the false flag attack on Poland so poorly that there was no chance to blame Russia without losing all credi…,Positive
"@ukraine_map SU-57 is labeled ""5th Gen"" by the Kremlin...🤨

Do we really all believe that it's even close to Wester… https://t.co/MFXnzC20HO",Negative
RT @Bitboy_Crypto: You guys understand what you are watching right now? You think this is a coincidence that suddenly we are sending Ukrain…,Negative
@djuric_zlatko Ukraine offers its condolences but claims to have evidence that they had no part in the accident. I… https://t.co/6XORycjv4k,Negative
"RT @RepMTG: The missile attack killing two innocent people in Poland was likely from Ukrainian Air Defense.

We must stop letting Zelensky…",Negative
RT @jacksonhinklle: I was called a dangerous conspiracy theorist yesterday for stating that Ukraine was responsible for the deadly missile…,Positive
"RT @irgarner: A reminder that Russia shot down a passenger jet over Ukraine in 2014, killing 298 civilians, and the West shrugged and got o…",Positive
"RT @bayraktar_1love: Croatia presumably will donate 14 Mi-8 and Mi-8 MTV-1 helicopters to Ukraine.
Link -https://t.co/lX5IaSRZNt",Negative
"RT @RepGosar: I will vote NO to any additional funding to Ukraine.

Enough is enough, I will not stand for this corrupt money laundering op…",Positive
"RT @TpyxaNews: Air defense systems provided by the US and allied countries help Ukraine protect the civilian population, and the American N…",Negative
"RT @BashaDesta: Russia is behind the Tigray Genocide, collaborating with the Fascist Gov't of Ethiopia. It is backing the Tigray genocide a…",Positive
"RT @trapperjohn37: So if I understand it right we sent money to Ukraine, then Ukraine invests money in a crypto scam that then spends 40 mi…",Negative
"@JackPosobiec Ukraine took Blame for that Missile yesterday evening, Please Keep Up",Negative
RT @JustinTrudeau: From the @G20org today: @RishiSunak and I spoke with @ZelenskyyUa as we stand firm with the people of Ukraine. We also a…,Positive
@MunSecConf I am condemning Russia's agression on Ukraine.Are your goals to stop conflicts everywhere they exists t… https://t.co/gxXObB7QQl,Negative
"RT @MaajidNawaz: We TRIED to WARN you
و ما علينا الا البلاغ المبين

March 2022 with @Timcast:

“Azov NAZI Battalions are officially part of…",Negative
"@JustinTrudeau @AndrzejDuda BRUH, It was a ukrainian missile LOL, We going to invoke article 5 on Ukraine I hope?",Negative
"RT @GlasnostGone: In the picturesque seclusion of the wooded cemetery in Plesets'ke village near Kyiv, Russia killed this women. Shrapnel f…",Positive
"@TerrinaMajnoona No.  I'm saying that the Pentagon watches every inch of Ukraine (maybe Poland, too).  They know where it launched.",Negative
"RT @CheburekiMan: Proof that ""Slava Ukraini"" is a fascist salute:

The Second Congress of the OUN-B issued detailed instructions that the f…",Negative
RT @UmlandAndreas: DER SPIEGEL https://t.co/qvCEDExOR9,Negative
"RT @DefenseBaron: JUST IN: The probability of Russia conquering Ukraine militarily is “close to zero,” says Gen. Milley, in rare Pentagon p…",Negative
"@OngManley It works. The PR machine went into overdrive. It’s close to mandatory to include references to Ukraine,… https://t.co/Yik2tqYxqY",Negative
"RT @DorameGary: ""A Complete Accident,  the missile went off by itself"" says Ukraine Guy https://t.co/4LqLkkZYbn",Negative
@txglntn @Sabomnim480121 @brainthots @DonaldJTrumpJr i dont think that means what you think it means really.  And w… https://t.co/fZWtv0jIaQ,Negative
"@brando1873 @alexymenez @ForzaMilan_79 @DrRandallMarsh @fasc1nate WW1, WW2, Vietnam War, Korean War, 9/11, Afghanis… https://t.co/KFUZMuaZQv",Negative
"@OlenaHalushka Vichnaya Pamyat'. Eternal Memory to Oleg, Hero of Ukraine. He will not be forgotten. May he Rest in Peace everlasting.",Negative
"RT @ggreenwald: US funding for war in Ukraine in 9 months:

Mar: $ 13.6 billion
May: $ 40b 
Nov: $ 37.7b: Biden's new request

That $ 91.3…",Negative
"RT @Maks_NAFO_FELLA: The winter war is beneficial to Ukrainians, - US Defense Minister Lloyd Austin.

 ""We provided Ukraine with a huge amo…",Negative
"RT @RonPaul: Did Ukraine Try To Lie Us Into WWIII? - today on the Liberty Report:
https://t.co/DuDCDIlCbg",Negative
RT @JamesBradleyCA: History will come to know Biden’s Ukraine War as the greatest financial scandal in American presidential history.,Negative
RT @timburchett: This was premature and we need to be careful. One of my concerns is that Ukraine will need  American “advisors” to handle…,Positive
"RT @gchahal: WATCH: #BNNRussia Reports

Chechen leader Ramzan Kadyrov responds after learning that the SBU (Ukraine's Security Service) has…",Negative
"RT @ggreenwald: If we project out to a year, that would be $120 billion each year to fuel the US proxy war in Ukraine.

That's roughly 1/8…",Positive
@disclosetv Ultimately responsible for Ukraine launching a missile in the wrong direction?,Positive
RT @CTVNews: FIFA President calls for World Cup ceasefire in Ukraine at G20 https://t.co/Wxdluykv1j https://t.co/97c41XpHwZ,Negative
"RT @Faytuks: BREAKING: ""This is getting ridiculous. The Ukrainians are destroying [our] confidence in them. Nobody is blaming Ukraine and t…",Positive
"RT @nickwestes: If approved, that’s more than $100 billion in aid to Ukraine just this year. Biden already approved $813 billion in US mili…",Negative
"RT @DonaldJTrumpJr: Since it was Ukraine's missile that hit our NATO ally Poland, can we at least stop spending billions to arm them now?",Positive
RT @DarthPutinKGB: Ukraine is risking WW3 by shooting down an innocent Russian cruise missile on its way to denazify a childrens playground.,Negative
"RT @amanpour: We must “give Ukraine as much military aid as we can give, so that Ukraine can defend themselves and push the aggressor back…",Positive
"RT @RichieHayes2: Without proof, Zelensky accuses Russia of firing missiles at Poland, killing two Poles, the media lap it up and the world…",Negative
"RT @AliciaandAlicia: 🇺🇦Kiev government humiliates and officially asks Jewish communities to hold prayer for ""defenders of Ukraine"" on Octob…",Negative
"RT @WarMonitors: ⚡️⚡️Financial Times: 

Responding to Zelensky’s remarks tonight, a NATO country diplomat told me: “This is getting ridicul…",Negative
"RT @JackPosobiec: US officials now admit blast in Poland caused by stray missile fired by Ukraine

https://t.co/6fBF2ldG6j",Negative
